tt0030500;nm0576867
tt0030518;nm0346436
tt0030535;nm0525067
tt0030548;nm0236980
tt0030550;nm0731592
tt0030554;nm0649183
tt0030563;nm0813554
tt0030563;nm0925397
tt0030586;nm0772136
tt0030628;nm0073394
tt0030628;nm0871181
tt0030643;nm0699535
tt0030650;nm0073394
tt0030650;nm0744035
tt0030652;nm0543243
tt0030652;nm0413519
tt0030657;nm0262213
tt0030657;nm0876562
tt0030663;nm0731592
tt0030668;nm0236980
tt0030679;nm0158738
tt0030696;nm0615065
tt0030696;nm0615066
tt0030706;nm0816458
tt0030708;nm0355010
tt0030709;nm0442105
tt0030709;nm0644420
tt0030710;nm0651000
tt0030714;nm0911698
tt0030725;nm0399196
tt0030727;nm0471341
tt0030727;nm0500284
tt0030731;nm0058905
tt0030732;nm0543243
tt0030739;nm0761164
tt0030739;nm0335577
tt0030741;nm0788058
tt0030743;nm0621790
tt0030744;nm0759029
tt0030754;nm0170660
tt0030755;nm0471341
tt0030760;nm0396754
tt0030764;nm0049898
tt0030764;nm0775149
tt0030765;nm0396754
tt0030774;nm0198202
tt0030775;nm0932573
tt0030779;nm0448839
tt0030783;nm0158737
tt0030786;nm0537363
tt0030793;nm0813554
tt0030793;nm0941556
tt0030808;nm0912090
tt0030811;nm0242897
tt0030820;nm0775149
tt0030824;nm0624535
tt0030831;nm0253892
tt0030833;nm0426108
tt0030846;nm0294368
tt0030853;nm0352443
tt0030854;nm0543243
tt0030858;nm0193368
tt0030864;nm0391763
tt0030867;nm0381082
tt0030867;nm0105965
tt0030879;nm0536941
tt0030884;nm0218626
tt0030899;nm0621540
tt0030900;nm0636147
tt0030910;nm0569708
tt0030925;nm0275255
tt0030938;nm0404487
tt0030944;nm0656039
tt0030944;nm0938439
tt0030947;nm0258755
tt0030958;nm0928915
tt0030968;nm0355858
tt0030983;nm0158737
tt0030990;nm0158737
tt0030996;nm0469915
tt0030996;nm0888144
tt0030997;nm0887858
tt0031002;nm0651585
tt0031005;nm0275312
tt0031005;nm0755457
tt0031012;nm0715723
tt0031014;nm0578734
tt0031020;nm0124947
tt0031021;nm0453885
tt0031021;nm0792605
tt0031022;nm0089637
tt0031033;nm0938439
tt0031038;nm0852313
tt0031038;nm0058905
