tt0018464;nm0329467
tt0018464;nm0682376
tt0018484;nm0444379
tt0018484;nm0566273
tt0018505;nm0283901
tt0018513;nm0780941
tt0018513;nm0672907
tt0018513;nm0497344
tt0018515;nm0000802
tt0018515;nm0101956
tt0018524;nm0712943
tt0018524;nm0340706
tt0018530;nm0936728
tt0018530;nm0936079
tt0018530;nm0386880
tt0018566;nm0182537
tt0018578;nm0545349
tt0018578;nm0736777
tt0018578;nm0001966
tt0018578;nm0000011
tt0018579;nm0521120
tt0018588;nm0000017
tt0018600;nm0482583
tt0018615;nm0375609
tt0018615;nm0903189
tt0018678;nm0023147
tt0018678;nm0642063
tt0018678;nm0049055
tt0018684;nm0000315
tt0018722;nm0936728
tt0018737;nm0000315
tt0018742;nm0329467
tt0018742;nm0206496
tt0018756;nm0050151
tt0018773;nm0448224
tt0018826;nm0060715
tt0018836;nm0001256
tt0018841;nm0901311
tt0018841;nm0837133
tt0018841;nm0878688
tt0018841;nm0546531
tt0018841;nm0283901
tt0018862;nm0029077
tt0018879;nm0268190
tt0018879;nm0632895
tt0018907;nm0521937
tt0018907;nm0636161
tt0018907;nm0310980
tt0018907;nm0237770
tt0018907;nm0209462
tt0018908;nm0942039
tt0018908;nm0209462
tt0018909;nm0124287
tt0018909;nm0576120
tt0018909;nm0355671
tt0018909;nm0172875
tt0018937;nm0000315
tt0018937;nm0016183
tt0018972;nm0172875
tt0018972;nm0448790
tt0018972;nm0448791
tt0018990;nm0663077
tt0018990;nm0297054
tt0018996;nm0401729
tt0019043;nm0157380
tt0019043;nm0051758
tt0019043;nm1797861
tt0019043;nm2885510
tt0019043;nm0644581
tt0019067;nm0497344
tt0019071;nm0270915
tt0019071;nm0713281
tt0019074;nm0497344
tt0019074;nm0949835
tt0019096;nm0182557
tt0019098;nm0482121
tt0019098;nm0000011
tt0019098;nm0570230
tt0019109;nm0222596
tt0019127;nm0030246
tt0019130;nm0597146
tt0019152;nm0287841
tt0019182;nm0209462
tt0019195;nm0001256
tt0019195;nm0018685
tt0019237;nm0780941
tt0019237;nm0637789
tt0019258;nm0936079
tt0019286;nm0837133
tt0019286;nm0055823
tt0019290;nm0365121
tt0019304;nm0831889
tt0019304;nm0201690
tt0019304;nm0698139
tt0019325;nm0738426
tt0019325;nm0237770
tt0019344;nm0485273
tt0019379;nm0707732
tt0019388;nm0242642
tt0019388;nm0398139
tt0019400;nm0206333
tt0019412;nm0160680
tt0019415;nm0561276
tt0019415;nm0903189
tt0019415;nm0223372
tt0019415;nm0295992
tt0019421;nm0126410
tt0019421;nm0507830
tt0019429;nm0176328
tt0019429;nm0268190
tt0019429;nm0310980
tt0019434;nm0720885
tt0019434;nm0336339
tt0019451;nm0394806
tt0019462;nm0336339
tt0019480;nm0374881
tt0019489;nm0003123
tt0019489;nm0235897
tt0019489;nm0285391
tt0019509;nm0000731
tt0019509;nm0054689
tt0019532;nm0556813
tt0019532;nm0823299
tt0019532;nm0018685
tt0019553;nm0445229
tt0019553;nm0237770
tt0019553;nm0209462
tt0019557;nm0831889
tt0019557;nm0000034
tt0019558;nm0942039
tt0019563;nm0300615
tt0019563;nm0634322
tt0019571;nm0638560
tt0019574;nm0868799
tt0019585;nm0417824
tt0019591;nm0780941
tt0019591;nm0001256
tt0019609;nm0055823
tt0019609;nm0405904
tt0019609;nm0546531
tt0019609;nm0306673
tt0019611;nm0840935
tt0019629;nm0895697
tt0019630;nm0606431
tt0019630;nm0341487
tt0019644;nm1034076
tt0019644;nm0604709
tt0019644;nm0905622
tt0019644;nm0670306
tt0019646;nm0375609
tt0019646;nm0695078
tt0019646;nm0323037
tt0019646;nm0745700
tt0019649;nm0840935
tt0019655;nm0023894
tt0019655;nm0297054
tt0019658;nm0058039
tt0019658;nm0519274
tt0019658;nm0835739
tt0019684;nm0454597
tt0019684;nm1844052
tt0019684;nm0602914
tt0019690;nm0001479
tt0019690;nm0014724
tt0019699;nm0454597
tt0019699;nm0738426
tt0019699;nm0001485
tt0019702;nm0648565
tt0019702;nm0519274
tt0019725;nm0240124
tt0019725;nm0270915
tt0019725;nm0272059
tt0019725;nm0448224
tt0019725;nm0255056
tt0019726;nm0924442
tt0019726;nm0497547
tt0019726;nm0126410
tt0019726;nm0251755
tt0019735;nm0000910
tt0019745;nm0485273
tt0019745;nm0355671
tt0019745;nm0000315
tt0019746;nm0223372
tt0019746;nm0407855
tt0019777;nm0290215
tt0019777;nm0247858
tt0019777;nm0555688
tt0019785;nm0362267
tt0019788;nm0064792
tt0019788;nm0417829
tt0019796;nm0849011
tt0019796;nm0385443
tt0019798;nm0720885
tt0019798;nm0703870
tt0019798;nm0007216
tt0019800;nm0001966
tt0019800;nm0627789
tt0019800;nm0174049
tt0019800;nm0290215
tt0019800;nm0260020
tt0019811;nm0634322
tt0019815;nm0429923
tt0019815;nm0401968
tt0019823;nm0124236
tt0019823;nm0000910
tt0019843;nm0272059
tt0019843;nm0000034
tt0019850;nm0727340
tt0019852;nm0394806
tt0019856;nm0003123
tt0019856;nm0318829
tt0019856;nm0237708
tt0019884;nm0329467
tt0019884;nm0497759
tt0019884;nm0336339
tt0019886;nm0336339
tt0019901;nm0561276
tt0019901;nm1586662
tt0019901;nm0295992
tt0019929;nm0637789
tt0019929;nm0233390
tt0019929;nm0352495
tt0019933;nm0604709
tt0019933;nm0719163
tt0019933;nm0247858
tt0019933;nm0884964
tt0019935;nm0703600
tt0019935;nm0060012
tt0019935;nm0018685
tt0019936;nm0287841
tt0019936;nm0064792
tt0019936;nm0919768
tt0019936;nm0049055
tt0019939;nm0591377
tt0019939;nm0328964
tt0019939;nm0955567
tt0019945;nm0001485
tt0019946;nm0235026
tt0019946;nm0437386
tt0019949;nm0253158
tt0019957;nm0492463
tt0019957;nm0339270
tt0019957;nm0615108
tt0019957;nm0096152
tt0019957;nm0087434
tt0019976;nm0016183
tt0019979;nm0362267
tt0019979;nm0358723
tt0019979;nm0358724
tt0019983;nm0001479
tt0019983;nm0101956
tt0019992;nm0001055
tt0019992;nm0627789
tt0020004;nm0865298
tt0020011;nm0000017
tt0020018;nm0121282
tt0020025;nm0361945
tt0020025;nm0337802
tt0020025;nm0689655
tt0020030;nm0720885
tt0020030;nm0209323
tt0020030;nm0049055
tt0020062;nm0001256
tt0020075;nm0641045
tt0020075;nm0322398
tt0020075;nm0617527
tt0020078;nm0272059
tt0020080;nm0478851
tt0020092;nm0550912
tt0020099;nm0287841
tt0020103;nm0001766
tt0020112;nm0744917
tt0020114;nm0497547
tt0020114;nm0478851
tt0020114;nm0478996
tt0020114;nm0255056
tt0020122;nm0268190
tt0020122;nm0310980
tt0020122;nm0280707
tt0020126;nm0638560
tt0020126;nm0454597
tt0020126;nm0352495
tt0020142;nm0648565
tt0020143;nm0062736
tt0020143;nm0464131
tt0020144;nm0464131
tt0020163;nm0251203
tt0020163;nm0893952
tt0020166;nm0001766
